,k,score
0,2,0.6523069271626067
1,3,0.43804802908743706
2,4,0.44091184303336783
3,5,0.43931974752330377
4,6,0.3655893269069046
5,7,0.367789251665813
6,8,0.4108910948999297
7,9,0.4454079932709761
8,10,0.4458535905626006
9,11,0.47449159506490773
10,12,0.4890779990720738
11,13,0.4978653940013142
12,14,0.5097618330885209
13,15,0.527025375577739
14,16,0.5350643325096219
15,17,0.5407790042105971
16,18,0.5618401421340844
17,19,0.5674398294425733
18,20,0.5900469477136416
19,21,0.6130079884392465
20,22,0.6363579402709573
21,23,0.6601365174733348
22,24,0.6843889743685427
23,25,0.7081258473412533
24,26,0.7121720505946008
25,27,0.7163682205649848
26,28,0.7207228004192677
27,29,0.725244873596757
28,30,0.7299442248747461
29,31,0.7348314084178303
30,32,0.7399178237306256
31,33,0.7452158005667421
32,34,0.7507386939997784
33,35,0.7481669564609635
34,36,0.7542106041634128
35,37,0.757143473825871
36,38,0.76318712152832
37,39,0.7717341300753287
38,40,0.7692307692307693
39,41,0.7692307692307693
40,42,0.7521367521367521
41,43,0.7350427350427351
42,44,0.6837606837606838
43,45,0.6837606837606838
44,46,0.6837606837606838
45,47,0.6837606837606838
46,48,0.6837606837606838
47,49,0.6666666666666666
48,50,0.6495726495726496
49,51,0.6239316239316239
50,52,0.6239316239316239
51,53,0.6068376068376068
52,54,0.5897435897435898
53,55,0.5726495726495726
54,56,0.17094017094017094
55,57,0.17094017094017094
56,58,0.17094017094017094
57,59,0.17094017094017094
58,60,0.17094017094017094
