,k,score
0,2,0.4042659976898683
1,3,0.5737590637118151
2,4,0.41624516599861006
3,5,0.2556889464396825
4,6,0.42660447571043275
5,7,0.3904366845775252
6,8,0.20803797956806575
7,9,0.3949663922614357
8,10,0.3212195958605037
9,11,0.41250443021817024
10,12,0.15649163692575246
11,13,0.24112073615099344
12,14,0.35666852317587716
13,15,0.18297645794061923
14,16,0.03022512711190265
15,17,0.1832563129799944
16,18,0.264478416690784
17,19,0.21559485786039653
18,20,0.2599110062473567
19,21,0.2176473572714537
20,22,0.2167601838514638
21,23,0.21769874611064102
22,24,0.21381895668707782
23,25,0.19117049196194946
24,26,0.1813873962753767
25,27,0.20940263000654782
26,28,0.19803927362086704
27,29,0.24957460866521994
28,30,0.2336503068011203
29,31,0.23032240257245337
30,32,0.23932249148070966
31,33,0.2358039886353449
32,34,0.25983167408075525
33,35,0.2578470104753049
34,36,0.24847593157617676
35,37,0.2680338763296944
36,38,0.25590850096868506
37,39,0.28205525343311255
38,40,0.2771523302901332
39,41,0.27954734108199797
40,42,0.29541759257325517
41,43,0.2980056786834818
42,44,0.293999513354397
43,45,0.3069018083364648
44,46,0.3037432731179592
45,47,0.3233025913856403
46,48,0.31742261633954877
47,49,0.31742261633954877
48,50,0.32320469533102625
49,51,0.32028867071872524
50,52,0.3509584200589374
51,53,0.3277660653206118
52,54,0.3380458471820627
53,55,0.3391290158281038
54,56,0.3315986310722201
55,57,0.3398814029341249
56,58,0.3516939290010999
57,59,0.35433226769593645
58,60,0.3540234096675227
