,k,score
0,2,0.6838387545036093
1,3,0.5474540239100227
2,4,0.5441296275209749
3,5,0.5686968853068489
4,6,0.5671296674467468
5,7,0.570771524155363
6,8,0.5637226050933868
7,9,0.5658415292666387
8,10,0.5553620417066734
9,11,0.5711170261477628
10,12,0.5667152275525529
11,13,0.5773886557119846
12,14,0.5678886267848752
13,15,0.5855827404993501
14,16,0.603108029094069
15,17,0.5896074946894669
16,18,0.5990343204539553
17,19,0.6048845201902826
18,20,0.6097178907295076
19,21,0.6165976752718552
20,22,0.6183129358016997
21,23,0.6251830267526993
22,24,0.6224766877841645
23,25,0.622989913731771
24,26,0.6267788462600365
25,27,0.6339447075874228
26,28,0.6376465446222498
27,29,0.6366408863204962
28,30,0.6433402623050812
29,31,0.6470293109011523
30,32,0.6475692371084666
31,33,0.6549203792956021
32,34,0.6564103130712349
33,35,0.6547150310642982
34,36,0.6630201777249222
35,37,0.6657404485913501
36,38,0.669120947970801
37,39,0.6726683163562335
38,40,0.6652089671829818
39,41,0.6686837025756533
40,42,0.6612365391263969
41,43,0.6656077873545155
42,44,0.6742859222241224
43,45,0.6653573507955509
44,46,0.6850310681118501
45,47,0.6742663233187388
46,48,0.6792013902104043
47,49,0.6811381572831041
48,50,0.6792013902104043
49,51,0.688999569442125
50,52,0.693045884523974
51,53,0.6912717713050592
52,54,0.6953180863869084
53,55,0.6994445265198832
54,56,0.6981719834453182
55,57,0.7023809523809523
56,58,0.7023809523809523
57,59,0.7023809523809523
58,60,0.7023809523809523
