,k,score
0,2,0.720694142078283
1,3,0.5427748289304987
2,4,0.5566430082387124
3,5,0.5580145656089733
4,6,0.45486957251354865
5,7,0.46476133837766176
6,8,0.4661425180426775
7,9,0.4687344926668367
8,10,0.47551565850771754
9,11,0.4766096448678812
10,12,0.4784699731367885
11,13,0.4904749029039219
12,14,0.45347246526942847
13,15,0.4584999528133379
14,16,0.487703016687548
15,17,0.4884023981002216
16,18,0.501590509717124
17,19,0.5022517357269216
18,20,0.5031045926180986
19,21,0.5066003802462755
20,22,0.5053869883429949
21,23,0.5073272069165058
22,24,0.5088729700213007
23,25,0.514605621652713
24,26,0.5227641904424697
25,27,0.5280992281446363
26,28,0.5307290939557375
27,29,0.5458094430227576
28,30,0.5476277423173844
29,31,0.5491331966641733
30,32,0.550609966233312
31,33,0.552879751394303
32,34,0.5396375596952758
33,35,0.548588046496657
34,36,0.5505543268325569
35,37,0.5518652960887874
36,38,0.54968675187241
37,39,0.5511799139507141
38,40,0.5524665399480404
39,41,0.5533561573301125
40,42,0.5549739416728228
41,43,0.5556646698636464
42,44,0.5568295093856829
43,45,0.5587261465612908
44,46,0.5587838116939637
45,47,0.5660689428139741
46,48,0.5734477256211966
47,49,0.5919265036989183
48,50,0.5929527414941896
49,51,0.5881148531502144
50,52,0.589536365124865
51,53,0.5902379129941547
52,54,0.5909768019164772
53,55,0.5926851526636954
54,56,0.5923844642459123
55,57,0.5906985574225612
56,58,0.5906985574225612
57,59,0.5906985574225612
58,60,0.5906985574225612
