,name_method,getAttributeDeclIndex,getElementDeclIndex,getElementDecl,getFirstAttributeDeclIndex,getNextAttributeDeclIndex,getAttributeDecl,getEntityDeclIndex,getNotationDeclIndex,getContentSpec,addContentSpecToElement,getElementContentModelValidator,createElementDecl,setElementDecl,setContentSpecIndex,createAttributeDecl,setAttributeDecl,createContentSpec,setContentSpec,createEntityDecl,setEntityDecl,createNotationDecl,setNotationDecl,addContentSpecNode,addUniqueLeafNode,initializeContentModelStack,appendContentSpec,printAttribute,createChildModel,buildSyntaxTree,contentSpecTree,ensureElementDeclCapacity,ensureAttributeDeclCapacity,ensureEntityDeclCapacity,ensureNotationDeclCapacity,ensureContentSpecCapacity,resize,CHUNK_SHIFT,CHUNK_SIZE,CHUNK_MASK,LIST_FLAG,LIST_MASK,DEBUG,fDTDSource,fDTDContentModelSource,fCurrentElementIndex,fCurrentAttributeIndex,fReadingExternalDTD,fSymbolTable,fGrammarDescription,fElementDeclCount,fElementDeclName,fElementDeclType,fElementDeclContentSpecIndex,fElementDeclContentModelValidator,fElementDeclFirstAttributeDeclIndex,fElementDeclLastAttributeDeclIndex,fAttributeDeclCount,fAttributeDeclName,fIsImmutable,fAttributeDeclType,fAttributeDeclEnumeration,fAttributeDeclDefaultType,fAttributeDeclDatatypeValidator,fAttributeDeclDefaultValue,fAttributeDeclNonNormalizedDefaultValue,fAttributeDeclNextAttributeDeclIndex,fContentSpecCount,fContentSpecType,fContentSpecValue,fContentSpecOtherValue,fEntityCount,fEntityName,fEntityValue,fEntityPublicId,fEntitySystemId,fEntityBaseSystemId,fEntityNotation,fEntityIsPE,fEntityInExternal,fNotationCount,fNotationName,fNotationPublicId,fNotationSystemId,fNotationBaseSystemId,fMixed,fQName,fQName2,fAttributeDecl,fLeafCount,fElementDecl,fSimpleType,fContentSpec,fElementDeclTab,fOpStack,fNodeIndexStack,fPrevNodeIndexStack,fDepth,fPEntityStack,fPEDepth,fElementDeclIsExternal,fAttributeDeclIsExternal,nodeIndex
10,attributeDecl,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0
11,internalEntityDecl,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,externalEntityDecl,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13,unparsedEntityDecl,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14,notationDecl,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,endDTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,setDTDSource,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,getDTDSource,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,textDecl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,comment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
