,method_name,cluster_id
0,reset,27
1,getRecognizedFeatures,2
2,setFeature,8
3,getRecognizedProperties,2
4,setProperty,38
5,getFeatureDefault,20
6,getPropertyDefault,20
7,setDocumentHandler,26
8,getDocumentHandler,2
9,startDocument,51
10,xmlDecl,6
11,doctypeDecl,34
12,comment,42
13,processingInstruction,45
14,startElement,3
15,emptyElement,3
16,endElement,33
17,startGeneralEntity,30
18,textDecl,6
19,endGeneralEntity,7
20,characters,42
21,ignorableWhitespace,42
22,startCDATA,7
23,endCDATA,7
24,endDocument,0
25,setDocumentSource,2
26,getDocumentSource,2
27,attributeDecl,31
28,elementDecl,9
29,endAttlist,14
30,endConditional,14
31,endDTD,14
32,endExternalSubset,14
33,endParameterEntity,9
34,externalEntityDecl,1
35,getDTDSource,2
36,ignoredCharacters,14
37,internalEntityDecl,9
38,notationDecl,1
39,setDTDSource,2
40,startAttlist,14
41,startConditional,14
42,startDTD,22
43,startExternalSubset,1
44,startParameterEntity,1
45,unparsedEntityDecl,1
46,getDTDHandler,2
47,setDTDHandler,26
48,setErrorReporter,52
49,handleFallbackElement,49
50,handleIncludeElement,47
51,hasXIncludeNamespace,25
52,isIncludeElement,15
53,isFallbackElement,15
54,sameBaseURIAsIncludeParent,39
55,sameLanguageAsIncludeParent,50
56,setupCurrentBaseURI,0
57,searchForRecursiveIncludes,2
58,isTopLevelIncludedItem,24
59,isTopLevelIncludedItemViaInclude,18
60,isTopLevelIncludedItemViaFallback,2
61,processAttributes,40
62,getRelativeBaseURI,35
63,getIncludeParentBaseURI,12
64,getIncludeParentLanguage,12
65,getIncludeParentDepth,53
66,getResultDepth,2
67,modifyAugmentations,29
68,getState,2
69,setState,8
70,setSawFallback,21
71,getSawFallback,23
72,setSawInclude,21
73,getSawInclude,23
74,reportResourceError,5
75,reportFatalError,5
76,reportError,44
77,setParent,2
78,setHref,2
79,setXIncludeLocator,22
80,isRootDocument,2
81,addUnparsedEntity,4
82,addNotation,4
83,checkUnparsedEntity,28
84,checkNotation,46
85,checkAndSendUnparsedEntity,54
86,checkAndSendNotation,37
87,checkWhitespace,32
88,checkMultipleRootElements,0
89,setRootElementProcessed,18
90,getRootElementProcessed,18
91,copyFeatures,36
92,copyFeatures1,13
93,saveBaseURI,2
94,restoreBaseURI,2
95,saveLanguage,2
96,restoreLanguage,2
97,getBaseURI,11
98,getLanguage,11
99,getRelativeURI,17
100,scopeOfBaseURI,10
101,scopeOfLanguage,10
102,processXMLBaseAttributes,43
103,processXMLLangAttributes,19
104,isValidInHTTPHeader,10
105,createInputSource,41
106,isEqual,48
107,escapeHref,16
