,method_name,cluster_id
0,getGrammarDescription,3
1,getElementDeclIsExternal,7
2,getAttributeDeclIsExternal,7
3,getAttributeDeclIndex,16
4,startDTD,5
5,startParameterEntity,9
6,startExternalSubset,3
7,endParameterEntity,9
8,endExternalSubset,3
9,elementDecl,13
10,attributeDecl,19
11,internalEntityDecl,14
12,externalEntityDecl,14
13,unparsedEntityDecl,14
14,notationDecl,3
15,endDTD,1
16,setDTDSource,3
17,getDTDSource,3
18,textDecl,3
19,comment,3
20,processingInstruction,3
21,startAttlist,3
22,endAttlist,3
23,startConditional,3
24,ignoredCharacters,3
25,endConditional,3
26,setDTDContentModelSource,3
27,getDTDContentModelSource,3
28,startContentModel,17
29,startGroup,17
30,pcdata,3
31,element,6
32,separator,5
33,occurrence,6
34,endGroup,5
35,any,3
36,empty,3
37,endContentModel,3
38,isNamespaceAware,3
39,getSymbolTable,3
40,getFirstElementDeclIndex,3
41,getNextElementDeclIndex,3
42,getElementDeclIndex,3
43,getContentSpecType,1
44,getElementDecl,1
45,getElementDeclName,1
46,getFirstAttributeDeclIndex,7
47,getNextAttributeDeclIndex,7
48,getAttributeDecl,2
49,isCDATAAttribute,16
50,getEntityDeclIndex,3
51,getEntityDecl,4
52,getNotationDeclIndex,3
53,getNotationDecl,8
54,getContentSpec,0
55,getContentSpecIndex,12
56,getContentSpecAsString,12
57,printElements,3
58,printAttributes,16
59,addContentSpecToElement,6
60,getElementContentModelValidator,20
61,createElementDecl,22
62,setElementDecl,1
63,putElementNameMapping,3
64,setFirstAttributeDeclIndex,7
65,setContentSpecIndex,12
66,createAttributeDecl,2
67,setAttributeDecl,2
68,createContentSpec,0
69,setContentSpec,0
70,createEntityDecl,21
71,setEntityDecl,4
72,createNotationDecl,7
73,setNotationDecl,8
74,addContentSpecNode,15
75,addUniqueLeafNode,15
76,initializeContentModelStack,5
77,isImmutable,3
78,appendContentSpec,3
79,printAttribute,3
80,createChildModel,11
81,buildSyntaxTree,11
82,contentSpecTree,3
83,ensureElementDeclCapacity,10
84,ensureAttributeDeclCapacity,18
85,ensureEntityDeclCapacity,4
86,ensureNotationDeclCapacity,8
87,ensureContentSpecCapacity,0
88,resize,3
89,isEntityDeclared,3
90,isEntityUnparsed,7
