,method_name,cluster_id
0,getGrammarDescription,2
1,getElementDeclIsExternal,19
2,getAttributeDeclIsExternal,19
3,getAttributeDeclIndex,26
4,startDTD,16
5,startParameterEntity,22
6,startExternalSubset,2
7,endParameterEntity,22
8,endExternalSubset,2
9,elementDecl,8
10,attributeDecl,3
11,internalEntityDecl,11
12,externalEntityDecl,11
13,unparsedEntityDecl,11
14,notationDecl,27
15,endDTD,1
16,setDTDSource,2
17,getDTDSource,2
18,textDecl,2
19,comment,2
20,processingInstruction,2
21,startAttlist,2
22,endAttlist,2
23,startConditional,2
24,ignoredCharacters,2
25,endConditional,2
26,setDTDContentModelSource,2
27,getDTDContentModelSource,2
28,startContentModel,0
29,startGroup,0
30,pcdata,2
31,element,5
32,separator,32
33,occurrence,5
34,endGroup,32
35,any,2
36,empty,2
37,endContentModel,2
38,isNamespaceAware,2
39,getSymbolTable,2
40,getFirstElementDeclIndex,2
41,getNextElementDeclIndex,2
42,getElementDeclIndex,2
43,getContentSpecType,35
44,getElementDecl,20
45,getElementDeclName,1
46,getFirstAttributeDeclIndex,15
47,getNextAttributeDeclIndex,19
48,getAttributeDecl,18
49,isCDATAAttribute,37
50,getEntityDeclIndex,2
51,getEntityDecl,6
52,getNotationDeclIndex,2
53,getNotationDecl,13
54,getContentSpec,7
55,getContentSpecIndex,33
56,getContentSpecAsString,17
57,printElements,2
58,printAttributes,26
59,addContentSpecToElement,30
60,getElementContentModelValidator,24
61,createElementDecl,31
62,setElementDecl,20
63,putElementNameMapping,2
64,setFirstAttributeDeclIndex,15
65,setContentSpecIndex,33
66,createAttributeDecl,4
67,setAttributeDecl,23
68,createContentSpec,7
69,setContentSpec,7
70,createEntityDecl,10
71,setEntityDecl,6
72,createNotationDecl,34
73,setNotationDecl,13
74,addContentSpecNode,14
75,addUniqueLeafNode,14
76,initializeContentModelStack,16
77,isImmutable,2
78,appendContentSpec,2
79,printAttribute,2
80,createChildModel,21
81,buildSyntaxTree,21
82,contentSpecTree,2
83,ensureElementDeclCapacity,12
84,ensureAttributeDeclCapacity,9
85,ensureEntityDeclCapacity,29
86,ensureNotationDeclCapacity,25
87,ensureContentSpecCapacity,28
88,resize,2
89,isEntityDeclared,2
90,isEntityUnparsed,36
