,method_name,cluster_id
0,null2EmptyString,1
1,emptyString2Null,1
2,doc2SystemId,17
3,parseSchema,9
4,validateAnnotations,41
5,createAnnotationValidator,17
6,getGrammar,17
7,findGrammar,3
8,constructTrees,5
9,isExistingGrammar,3
10,updateImportListFor,16
11,updateImportListWith,27
12,buildGlobalNameRegistries,7
13,traverseSchemas,20
14,needReportTNSError,17
15,addGlobalAttributeDecl,15
16,addGlobalAttributeGroupDecl,15
17,addGlobalElementDecl,15
18,addGlobalGroupDecl,15
19,addGlobalNotationDecl,15
20,addGlobalTypeDecl,15
21,addIDConstraintDecl,15
22,getGlobalAttributeDecl,38
23,getGlobalAttributeGroupDecl,38
24,getGlobalElementDecl,38
25,getGlobalGroupDecl,38
26,getGlobalNotationDecl,38
27,getGlobalTypeDecl,38
28,getIDConstraintDecl,38
29,getGlobalDecl,18
30,getGlobalDeclFromGrammar,18
31,traverseGlobalDecl,44
32,schemaDocument2SystemId,17
33,getGrpOrAttrGrpRedefinedByRestriction,24
34,resolveKeyRefs,30
35,getIDRegistry,17
36,getIDRegistry_sub,17
37,storeKeyRef,13
38,resolveSchema,26
39,resolveSchemaSource,26
40,getSchemaDocument,19
41,getSchemaDocument0,17
42,getSchemaDocument1,26
43,expandGrammars,42
44,existingGrammars,10
45,canAddComponents,0
46,canAddComponent,39
47,addGrammars,10
48,addGrammarComponents,36
49,createGrammarFrom,17
50,addNewGrammarLocations,17
51,addNewImportedGrammars,46
52,updateImportList,16
53,addNewGrammarComponents,28
54,addGlobalElementDecls,34
55,addGlobalAttributeDecls,43
56,addGlobalAttributeGroupDecls,48
57,addGlobalNotationDecls,49
58,addGlobalGroupDecls,2
59,addGlobalTypeDecls,2
60,expandComponents,45
61,expandRelatedComponents,6
62,expandRelatedAttributeComponents,4
63,expandRelatedElementComponents,4
64,expandRelatedTypeComponents,4
65,expandRelatedModelGroupDefinitionComponents,4
66,expandRelatedAttributeGroupComponents,4
67,expandRelatedComplexTypeComponents,4
68,expandRelatedSimpleTypeComponents,4
69,expandRelatedAttributeUsesComponents,4
70,expandRelatedAttributeUseComponents,4
71,expandRelatedParticleComponents,29
72,expandRelatedModelGroupComponents,40
73,addRelatedType,23
74,addRelatedElement,37
75,addRelatedAttribute,37
76,addGlobalComponents,0
77,addGlobalComponent,8
78,updateImportDependencies,17
79,expandImportList,33
80,addImportList,16
81,containedImportedGrammar,17
82,getSchemaGrammar,3
83,findDependentNamespaces,47
84,addNamespaceDependency,17
85,reportSharingError,25
86,createTraversers,17
87,prepareForParse,17
88,prepareForTraverse,17
89,setDeclPool,17
90,setDVFactory,17
91,reset,17
92,traverseLocalElements,35
93,removeParticle,12
94,fillInLocalElemInfo,22
95,checkForDuplicateNames,31
96,renameRedefiningComponents,11
97,findQName,32
98,changeRedefineGroup,21
99,findXSDocumentForDecl,50
100,nonAnnotationContent,17
101,setSchemasVisible,17
102,element2Locator,17
103,reportSchemaError,14
104,reportSchemaWarning,14
105,setGenerateSyntheticAnnotations,17
