,method_name,cluster_id
0,null2EmptyString,18
1,emptyString2Null,18
2,doc2SystemId,18
3,parseSchema,20
4,validateAnnotations,11
5,createAnnotationValidator,18
6,getGrammar,18
7,findGrammar,12
8,constructTrees,2
9,isExistingGrammar,12
10,updateImportListFor,11
11,updateImportListWith,0
12,buildGlobalNameRegistries,8
13,traverseSchemas,6
14,needReportTNSError,18
15,addGlobalAttributeDecl,14
16,addGlobalAttributeGroupDecl,14
17,addGlobalElementDecl,14
18,addGlobalGroupDecl,14
19,addGlobalNotationDecl,14
20,addGlobalTypeDecl,14
21,addIDConstraintDecl,14
22,getGlobalAttributeDecl,1
23,getGlobalAttributeGroupDecl,1
24,getGlobalElementDecl,1
25,getGlobalGroupDecl,1
26,getGlobalNotationDecl,1
27,getGlobalTypeDecl,1
28,getIDConstraintDecl,1
29,getGlobalDecl,9
30,getGlobalDeclFromGrammar,9
31,traverseGlobalDecl,24
32,schemaDocument2SystemId,18
33,getGrpOrAttrGrpRedefinedByRestriction,22
34,resolveKeyRefs,11
35,getIDRegistry,18
36,getIDRegistry_sub,18
37,storeKeyRef,19
38,resolveSchema,18
39,resolveSchemaSource,18
40,getSchemaDocument,13
41,getSchemaDocument0,18
42,getSchemaDocument1,18
43,expandGrammars,17
44,existingGrammars,17
45,canAddComponents,11
46,canAddComponent,10
47,addGrammars,17
48,addGrammarComponents,18
49,createGrammarFrom,18
50,addNewGrammarLocations,18
51,addNewImportedGrammars,11
52,updateImportList,11
53,addNewGrammarComponents,18
54,addGlobalElementDecls,5
55,addGlobalAttributeDecls,5
56,addGlobalAttributeGroupDecls,5
57,addGlobalNotationDecls,5
58,addGlobalGroupDecls,5
59,addGlobalTypeDecls,5
60,expandComponents,18
61,expandRelatedComponents,16
62,expandRelatedAttributeComponents,7
63,expandRelatedElementComponents,7
64,expandRelatedTypeComponents,7
65,expandRelatedModelGroupDefinitionComponents,7
66,expandRelatedAttributeGroupComponents,7
67,expandRelatedComplexTypeComponents,7
68,expandRelatedSimpleTypeComponents,7
69,expandRelatedAttributeUsesComponents,7
70,expandRelatedAttributeUseComponents,7
71,expandRelatedParticleComponents,7
72,expandRelatedModelGroupComponents,7
73,addRelatedType,26
74,addRelatedElement,26
75,addRelatedAttribute,26
76,addGlobalComponents,11
77,addGlobalComponent,10
78,updateImportDependencies,18
79,expandImportList,18
80,addImportList,11
81,containedImportedGrammar,11
82,getSchemaGrammar,12
83,findDependentNamespaces,18
84,addNamespaceDependency,18
85,reportSharingError,18
86,createTraversers,18
87,prepareForParse,18
88,prepareForTraverse,18
89,setDeclPool,18
90,setDVFactory,18
91,reset,18
92,traverseLocalElements,23
93,removeParticle,21
94,fillInLocalElemInfo,18
95,checkForDuplicateNames,15
96,renameRedefiningComponents,3
97,findQName,18
98,changeRedefineGroup,4
99,findXSDocumentForDecl,18
100,nonAnnotationContent,18
101,setSchemasVisible,18
102,element2Locator,18
103,reportSchemaError,25
104,reportSchemaWarning,25
105,setGenerateSyntheticAnnotations,18
