,method_name,cluster_id
0,reset,17
1,getRecognizedFeatures,13
2,setFeature,13
3,getRecognizedProperties,13
4,setProperty,27
5,getFeatureDefault,20
6,getPropertyDefault,20
7,setDocumentHandler,13
8,getDocumentHandler,13
9,startDocument,11
10,xmlDecl,32
11,doctypeDecl,1
12,comment,4
13,processingInstruction,4
14,startElement,2
15,emptyElement,2
16,endElement,25
17,startGeneralEntity,30
18,textDecl,4
19,endGeneralEntity,4
20,characters,4
21,ignorableWhitespace,4
22,startCDATA,4
23,endCDATA,4
24,endDocument,1
25,setDocumentSource,13
26,getDocumentSource,13
27,attributeDecl,28
28,elementDecl,9
29,endAttlist,9
30,endConditional,9
31,endDTD,9
32,endExternalSubset,9
33,endParameterEntity,9
34,externalEntityDecl,7
35,getDTDSource,13
36,ignoredCharacters,9
37,internalEntityDecl,9
38,notationDecl,7
39,setDTDSource,13
40,startAttlist,9
41,startConditional,9
42,startDTD,9
43,startExternalSubset,9
44,startParameterEntity,7
45,unparsedEntityDecl,19
46,getDTDHandler,13
47,setDTDHandler,13
48,setErrorReporter,13
49,handleFallbackElement,15
50,handleIncludeElement,3
51,hasXIncludeNamespace,13
52,isIncludeElement,29
53,isFallbackElement,29
54,sameBaseURIAsIncludeParent,13
55,sameLanguageAsIncludeParent,13
56,setupCurrentBaseURI,13
57,searchForRecursiveIncludes,13
58,isTopLevelIncludedItem,13
59,isTopLevelIncludedItemViaInclude,1
60,isTopLevelIncludedItemViaFallback,13
61,processAttributes,5
62,getRelativeBaseURI,10
63,getIncludeParentBaseURI,1
64,getIncludeParentLanguage,1
65,getIncludeParentDepth,6
66,getResultDepth,13
67,modifyAugmentations,4
68,getState,13
69,setState,13
70,setSawFallback,16
71,getSawFallback,6
72,setSawInclude,16
73,getSawInclude,6
74,reportResourceError,0
75,reportFatalError,0
76,reportError,0
77,setParent,13
78,setHref,13
79,setXIncludeLocator,13
80,isRootDocument,13
81,addUnparsedEntity,8
82,addNotation,8
83,checkUnparsedEntity,23
84,checkNotation,24
85,checkAndSendUnparsedEntity,18
86,checkAndSendNotation,14
87,checkWhitespace,26
88,checkMultipleRootElements,13
89,setRootElementProcessed,1
90,getRootElementProcessed,1
91,copyFeatures,21
92,copyFeatures1,13
93,saveBaseURI,13
94,restoreBaseURI,13
95,saveLanguage,13
96,restoreLanguage,13
97,getBaseURI,31
98,getLanguage,31
99,getRelativeURI,6
100,scopeOfBaseURI,6
101,scopeOfLanguage,6
102,processXMLBaseAttributes,13
103,processXMLLangAttributes,13
104,isValidInHTTPHeader,6
105,createInputSource,22
106,isEqual,13
107,escapeHref,12
