,method_name,cluster_id
0,reset,17
1,getRecognizedFeatures,8
2,setFeature,8
3,getRecognizedProperties,8
4,setProperty,8
5,getFeatureDefault,6
6,getPropertyDefault,6
7,setDocumentHandler,8
8,getDocumentHandler,8
9,startDocument,19
10,xmlDecl,11
11,doctypeDecl,5
12,comment,7
13,processingInstruction,7
14,startElement,3
15,emptyElement,3
16,endElement,12
17,startGeneralEntity,23
18,textDecl,23
19,endGeneralEntity,23
20,characters,7
21,ignorableWhitespace,7
22,startCDATA,23
23,endCDATA,23
24,endDocument,5
25,setDocumentSource,8
26,getDocumentSource,8
27,attributeDecl,0
28,elementDecl,18
29,endAttlist,0
30,endConditional,0
31,endDTD,0
32,endExternalSubset,0
33,endParameterEntity,18
34,externalEntityDecl,18
35,getDTDSource,8
36,ignoredCharacters,0
37,internalEntityDecl,18
38,notationDecl,18
39,setDTDSource,8
40,startAttlist,0
41,startConditional,0
42,startDTD,0
43,startExternalSubset,0
44,startParameterEntity,18
45,unparsedEntityDecl,18
46,getDTDHandler,8
47,setDTDHandler,8
48,setErrorReporter,8
49,handleFallbackElement,15
50,handleIncludeElement,2
51,hasXIncludeNamespace,8
52,isIncludeElement,8
53,isFallbackElement,8
54,sameBaseURIAsIncludeParent,8
55,sameLanguageAsIncludeParent,8
56,setupCurrentBaseURI,8
57,searchForRecursiveIncludes,8
58,isTopLevelIncludedItem,8
59,isTopLevelIncludedItemViaInclude,5
60,isTopLevelIncludedItemViaFallback,8
61,processAttributes,1
62,getRelativeBaseURI,9
63,getIncludeParentBaseURI,5
64,getIncludeParentLanguage,5
65,getIncludeParentDepth,6
66,getResultDepth,8
67,modifyAugmentations,8
68,getState,8
69,setState,8
70,setSawFallback,13
71,getSawFallback,8
72,setSawInclude,13
73,getSawInclude,8
74,reportResourceError,10
75,reportFatalError,10
76,reportError,10
77,setParent,8
78,setHref,8
79,setXIncludeLocator,8
80,isRootDocument,8
81,addUnparsedEntity,4
82,addNotation,4
83,checkUnparsedEntity,22
84,checkNotation,8
85,checkAndSendUnparsedEntity,4
86,checkAndSendNotation,21
87,checkWhitespace,6
88,checkMultipleRootElements,8
89,setRootElementProcessed,5
90,getRootElementProcessed,5
91,copyFeatures,20
92,copyFeatures1,24
93,saveBaseURI,8
94,restoreBaseURI,8
95,saveLanguage,8
96,restoreLanguage,8
97,getBaseURI,16
98,getLanguage,16
99,getRelativeURI,16
100,scopeOfBaseURI,16
101,scopeOfLanguage,16
102,processXMLBaseAttributes,25
103,processXMLLangAttributes,8
104,isValidInHTTPHeader,6
105,createInputSource,26
106,isEqual,8
107,escapeHref,14
