,method_name,cluster_id
0,reset,13
1,getRecognizedFeatures,5
2,setFeature,5
3,getRecognizedProperties,5
4,setProperty,38
5,getFeatureDefault,16
6,getPropertyDefault,16
7,setDocumentHandler,5
8,getDocumentHandler,5
9,startDocument,12
10,xmlDecl,33
11,doctypeDecl,39
12,comment,17
13,processingInstruction,53
14,startElement,9
15,emptyElement,45
16,endElement,4
17,startGeneralEntity,32
18,textDecl,10
19,endGeneralEntity,10
20,characters,17
21,ignorableWhitespace,10
22,startCDATA,10
23,endCDATA,10
24,endDocument,24
25,setDocumentSource,5
26,getDocumentSource,5
27,attributeDecl,14
28,elementDecl,37
29,endAttlist,26
30,endConditional,26
31,endDTD,26
32,endExternalSubset,26
33,endParameterEntity,37
34,externalEntityDecl,11
35,getDTDSource,5
36,ignoredCharacters,26
37,internalEntityDecl,37
38,notationDecl,11
39,setDTDSource,5
40,startAttlist,26
41,startConditional,26
42,startDTD,26
43,startExternalSubset,11
44,startParameterEntity,11
45,unparsedEntityDecl,46
46,getDTDHandler,5
47,setDTDHandler,5
48,setErrorReporter,5
49,handleFallbackElement,22
50,handleIncludeElement,2
51,hasXIncludeNamespace,1
52,isIncludeElement,41
53,isFallbackElement,41
54,sameBaseURIAsIncludeParent,50
55,sameLanguageAsIncludeParent,5
56,setupCurrentBaseURI,5
57,searchForRecursiveIncludes,5
58,isTopLevelIncludedItem,5
59,isTopLevelIncludedItemViaInclude,48
60,isTopLevelIncludedItemViaFallback,5
61,processAttributes,6
62,getRelativeBaseURI,7
63,getIncludeParentBaseURI,25
64,getIncludeParentLanguage,25
65,getIncludeParentDepth,42
66,getResultDepth,5
67,modifyAugmentations,40
68,getState,5
69,setState,49
70,setSawFallback,47
71,getSawFallback,19
72,setSawInclude,47
73,getSawInclude,19
74,reportResourceError,20
75,reportFatalError,20
76,reportError,15
77,setParent,3
78,setHref,5
79,setXIncludeLocator,5
80,isRootDocument,5
81,addUnparsedEntity,8
82,addNotation,43
83,checkUnparsedEntity,31
84,checkNotation,30
85,checkAndSendUnparsedEntity,21
86,checkAndSendNotation,0
87,checkWhitespace,28
88,checkMultipleRootElements,51
89,setRootElementProcessed,48
90,getRootElementProcessed,48
91,copyFeatures,27
92,copyFeatures1,34
93,saveBaseURI,5
94,restoreBaseURI,5
95,saveLanguage,5
96,restoreLanguage,5
97,getBaseURI,29
98,getLanguage,29
99,getRelativeURI,52
100,scopeOfBaseURI,36
101,scopeOfLanguage,36
102,processXMLBaseAttributes,35
103,processXMLLangAttributes,44
104,isValidInHTTPHeader,5
105,createInputSource,23
106,isEqual,5
107,escapeHref,18
