,method_name,cluster_id
0,null2EmptyString,36
1,emptyString2Null,36
2,doc2SystemId,43
3,parseSchema,3
4,validateAnnotations,22
5,createAnnotationValidator,43
6,getGrammar,43
7,findGrammar,29
8,constructTrees,9
9,isExistingGrammar,29
10,updateImportListFor,18
11,updateImportListWith,33
12,buildGlobalNameRegistries,25
13,traverseSchemas,5
14,needReportTNSError,43
15,addGlobalAttributeDecl,17
16,addGlobalAttributeGroupDecl,17
17,addGlobalElementDecl,17
18,addGlobalGroupDecl,17
19,addGlobalNotationDecl,17
20,addGlobalTypeDecl,17
21,addIDConstraintDecl,17
22,getGlobalAttributeDecl,2
23,getGlobalAttributeGroupDecl,2
24,getGlobalElementDecl,2
25,getGlobalGroupDecl,2
26,getGlobalNotationDecl,2
27,getGlobalTypeDecl,2
28,getIDConstraintDecl,2
29,getGlobalDecl,10
30,getGlobalDeclFromGrammar,10
31,traverseGlobalDecl,30
32,schemaDocument2SystemId,43
33,getGrpOrAttrGrpRedefinedByRestriction,27
34,resolveKeyRefs,18
35,getIDRegistry,43
36,getIDRegistry_sub,43
37,storeKeyRef,24
38,resolveSchema,19
39,resolveSchemaSource,19
40,getSchemaDocument,13
41,getSchemaDocument0,43
42,getSchemaDocument1,19
43,expandGrammars,15
44,existingGrammars,15
45,canAddComponents,18
46,canAddComponent,6
47,addGrammars,15
48,addGrammarComponents,32
49,createGrammarFrom,43
50,addNewGrammarLocations,43
51,addNewImportedGrammars,12
52,updateImportList,18
53,addNewGrammarComponents,26
54,addGlobalElementDecls,38
55,addGlobalAttributeDecls,4
56,addGlobalAttributeGroupDecls,4
57,addGlobalNotationDecls,42
58,addGlobalGroupDecls,4
59,addGlobalTypeDecls,4
60,expandComponents,40
61,expandRelatedComponents,11
62,expandRelatedAttributeComponents,34
63,expandRelatedElementComponents,34
64,expandRelatedTypeComponents,16
65,expandRelatedModelGroupDefinitionComponents,16
66,expandRelatedAttributeGroupComponents,16
67,expandRelatedComplexTypeComponents,34
68,expandRelatedSimpleTypeComponents,31
69,expandRelatedAttributeUsesComponents,16
70,expandRelatedAttributeUseComponents,16
71,expandRelatedParticleComponents,16
72,expandRelatedModelGroupComponents,16
73,addRelatedType,8
74,addRelatedElement,8
75,addRelatedAttribute,8
76,addGlobalComponents,35
77,addGlobalComponent,20
78,updateImportDependencies,43
79,expandImportList,43
80,addImportList,18
81,containedImportedGrammar,18
82,getSchemaGrammar,29
83,findDependentNamespaces,36
84,addNamespaceDependency,43
85,reportSharingError,43
86,createTraversers,43
87,prepareForParse,43
88,prepareForTraverse,1
89,setDeclPool,43
90,setDVFactory,43
91,reset,43
92,traverseLocalElements,39
93,removeParticle,21
94,fillInLocalElemInfo,28
95,checkForDuplicateNames,0
96,renameRedefiningComponents,7
97,findQName,41
98,changeRedefineGroup,23
99,findXSDocumentForDecl,43
100,nonAnnotationContent,43
101,setSchemasVisible,43
102,element2Locator,37
103,reportSchemaError,14
104,reportSchemaWarning,14
105,setGenerateSyntheticAnnotations,43
