,method_name,cluster_id
0,null2EmptyString,1
1,emptyString2Null,1
2,doc2SystemId,7
3,parseSchema,8
4,validateAnnotations,35
5,createAnnotationValidator,7
6,getGrammar,7
7,findGrammar,31
8,constructTrees,5
9,isExistingGrammar,31
10,updateImportListFor,7
11,updateImportListWith,29
12,buildGlobalNameRegistries,10
13,traverseSchemas,11
14,needReportTNSError,7
15,addGlobalAttributeDecl,21
16,addGlobalAttributeGroupDecl,21
17,addGlobalElementDecl,21
18,addGlobalGroupDecl,21
19,addGlobalNotationDecl,21
20,addGlobalTypeDecl,21
21,addIDConstraintDecl,21
22,getGlobalAttributeDecl,4
23,getGlobalAttributeGroupDecl,4
24,getGlobalElementDecl,4
25,getGlobalGroupDecl,4
26,getGlobalNotationDecl,4
27,getGlobalTypeDecl,4
28,getIDConstraintDecl,4
29,getGlobalDecl,9
30,getGlobalDeclFromGrammar,9
31,traverseGlobalDecl,32
32,schemaDocument2SystemId,7
33,getGrpOrAttrGrpRedefinedByRestriction,25
34,resolveKeyRefs,53
35,getIDRegistry,7
36,getIDRegistry_sub,7
37,storeKeyRef,18
38,resolveSchema,50
39,resolveSchemaSource,13
40,getSchemaDocument,24
41,getSchemaDocument0,7
42,getSchemaDocument1,13
43,expandGrammars,34
44,existingGrammars,20
45,canAddComponents,36
46,canAddComponent,3
47,addGrammars,20
48,addGrammarComponents,39
49,createGrammarFrom,7
50,addNewGrammarLocations,7
51,addNewImportedGrammars,45
52,updateImportList,28
53,addNewGrammarComponents,30
54,addGlobalElementDecls,41
55,addGlobalAttributeDecls,2
56,addGlobalAttributeGroupDecls,43
57,addGlobalNotationDecls,52
58,addGlobalGroupDecls,46
59,addGlobalTypeDecls,40
60,expandComponents,33
61,expandRelatedComponents,16
62,expandRelatedAttributeComponents,6
63,expandRelatedElementComponents,6
64,expandRelatedTypeComponents,6
65,expandRelatedModelGroupDefinitionComponents,6
66,expandRelatedAttributeGroupComponents,6
67,expandRelatedComplexTypeComponents,6
68,expandRelatedSimpleTypeComponents,6
69,expandRelatedAttributeUsesComponents,48
70,expandRelatedAttributeUseComponents,6
71,expandRelatedParticleComponents,38
72,expandRelatedModelGroupComponents,49
73,addRelatedType,44
74,addRelatedElement,12
75,addRelatedAttribute,12
76,addGlobalComponents,47
77,addGlobalComponent,17
78,updateImportDependencies,7
79,expandImportList,42
80,addImportList,28
81,containedImportedGrammar,7
82,getSchemaGrammar,31
83,findDependentNamespaces,1
84,addNamespaceDependency,7
85,reportSharingError,51
86,createTraversers,7
87,prepareForParse,7
88,prepareForTraverse,7
89,setDeclPool,7
90,setDVFactory,7
91,reset,54
92,traverseLocalElements,26
93,removeParticle,37
94,fillInLocalElemInfo,27
95,checkForDuplicateNames,22
96,renameRedefiningComponents,14
97,findQName,15
98,changeRedefineGroup,19
99,findXSDocumentForDecl,7
100,nonAnnotationContent,7
101,setSchemasVisible,7
102,element2Locator,0
103,reportSchemaError,23
104,reportSchemaWarning,23
105,setGenerateSyntheticAnnotations,7
