,method_name,cluster_id
0,getGrammarDescription,1
1,getElementDeclIsExternal,3
2,getAttributeDeclIsExternal,3
3,getAttributeDeclIndex,1
4,startDTD,17
5,startParameterEntity,5
6,startExternalSubset,1
7,endParameterEntity,5
8,endExternalSubset,1
9,elementDecl,10
10,attributeDecl,9
11,internalEntityDecl,18
12,externalEntityDecl,18
13,unparsedEntityDecl,18
14,notationDecl,1
15,endDTD,12
16,setDTDSource,1
17,getDTDSource,1
18,textDecl,1
19,comment,1
20,processingInstruction,1
21,startAttlist,1
22,endAttlist,1
23,startConditional,1
24,ignoredCharacters,1
25,endConditional,1
26,setDTDContentModelSource,1
27,getDTDContentModelSource,1
28,startContentModel,1
29,startGroup,1
30,pcdata,1
31,element,4
32,separator,17
33,occurrence,4
34,endGroup,17
35,any,1
36,empty,1
37,endContentModel,1
38,isNamespaceAware,1
39,getSymbolTable,1
40,getFirstElementDeclIndex,1
41,getNextElementDeclIndex,1
42,getElementDeclIndex,1
43,getContentSpecType,12
44,getElementDecl,7
45,getElementDeclName,12
46,getFirstAttributeDeclIndex,3
47,getNextAttributeDeclIndex,3
48,getAttributeDecl,13
49,isCDATAAttribute,1
50,getEntityDeclIndex,1
51,getEntityDecl,8
52,getNotationDeclIndex,1
53,getNotationDecl,15
54,getContentSpec,6
55,getContentSpecIndex,12
56,getContentSpecAsString,12
57,printElements,1
58,printAttributes,1
59,addContentSpecToElement,4
60,getElementContentModelValidator,3
61,createElementDecl,7
62,setElementDecl,7
63,putElementNameMapping,1
64,setFirstAttributeDeclIndex,12
65,setContentSpecIndex,12
66,createAttributeDecl,13
67,setAttributeDecl,2
68,createContentSpec,6
69,setContentSpec,6
70,createEntityDecl,16
71,setEntityDecl,8
72,createNotationDecl,1
73,setNotationDecl,15
74,addContentSpecNode,19
75,addUniqueLeafNode,19
76,initializeContentModelStack,17
77,isImmutable,1
78,appendContentSpec,1
79,printAttribute,1
80,createChildModel,0
81,buildSyntaxTree,0
82,contentSpecTree,1
83,ensureElementDeclCapacity,11
84,ensureAttributeDeclCapacity,14
85,ensureEntityDeclCapacity,8
86,ensureNotationDeclCapacity,15
87,ensureContentSpecCapacity,6
88,resize,1
89,isEntityDeclared,1
90,isEntityUnparsed,3
