,method_name,cluster_id
0,null2EmptyString,0
1,emptyString2Null,0
2,doc2SystemId,0
3,parseSchema,8
4,validateAnnotations,19
5,createAnnotationValidator,0
6,getGrammar,0
7,findGrammar,0
8,constructTrees,2
9,isExistingGrammar,0
10,updateImportListFor,19
11,updateImportListWith,19
12,buildGlobalNameRegistries,5
13,traverseSchemas,3
14,needReportTNSError,0
15,addGlobalAttributeDecl,18
16,addGlobalAttributeGroupDecl,18
17,addGlobalElementDecl,18
18,addGlobalGroupDecl,18
19,addGlobalNotationDecl,18
20,addGlobalTypeDecl,18
21,addIDConstraintDecl,18
22,getGlobalAttributeDecl,0
23,getGlobalAttributeGroupDecl,0
24,getGlobalElementDecl,0
25,getGlobalGroupDecl,0
26,getGlobalNotationDecl,0
27,getGlobalTypeDecl,0
28,getIDConstraintDecl,0
29,getGlobalDecl,15
30,getGlobalDeclFromGrammar,15
31,traverseGlobalDecl,0
32,schemaDocument2SystemId,0
33,getGrpOrAttrGrpRedefinedByRestriction,0
34,resolveKeyRefs,6
35,getIDRegistry,0
36,getIDRegistry_sub,0
37,storeKeyRef,17
38,resolveSchema,16
39,resolveSchemaSource,16
40,getSchemaDocument,20
41,getSchemaDocument0,0
42,getSchemaDocument1,16
43,expandGrammars,10
44,existingGrammars,10
45,canAddComponents,7
46,canAddComponent,12
47,addGrammars,10
48,addGrammarComponents,0
49,createGrammarFrom,0
50,addNewGrammarLocations,0
51,addNewImportedGrammars,19
52,updateImportList,19
53,addNewGrammarComponents,0
54,addGlobalElementDecls,4
55,addGlobalAttributeDecls,4
56,addGlobalAttributeGroupDecls,4
57,addGlobalNotationDecls,4
58,addGlobalGroupDecls,4
59,addGlobalTypeDecls,4
60,expandComponents,0
61,expandRelatedComponents,14
62,expandRelatedAttributeComponents,1
63,expandRelatedElementComponents,1
64,expandRelatedTypeComponents,1
65,expandRelatedModelGroupDefinitionComponents,1
66,expandRelatedAttributeGroupComponents,1
67,expandRelatedComplexTypeComponents,1
68,expandRelatedSimpleTypeComponents,1
69,expandRelatedAttributeUsesComponents,1
70,expandRelatedAttributeUseComponents,1
71,expandRelatedParticleComponents,1
72,expandRelatedModelGroupComponents,1
73,addRelatedType,1
74,addRelatedElement,1
75,addRelatedAttribute,1
76,addGlobalComponents,7
77,addGlobalComponent,12
78,updateImportDependencies,0
79,expandImportList,0
80,addImportList,19
81,containedImportedGrammar,19
82,getSchemaGrammar,0
83,findDependentNamespaces,0
84,addNamespaceDependency,0
85,reportSharingError,0
86,createTraversers,0
87,prepareForParse,0
88,prepareForTraverse,0
89,setDeclPool,0
90,setDVFactory,0
91,reset,0
92,traverseLocalElements,6
93,removeParticle,0
94,fillInLocalElemInfo,11
95,checkForDuplicateNames,0
96,renameRedefiningComponents,9
97,findQName,0
98,changeRedefineGroup,13
99,findXSDocumentForDecl,0
100,nonAnnotationContent,0
101,setSchemasVisible,0
102,element2Locator,0
103,reportSchemaError,0
104,reportSchemaWarning,0
105,setGenerateSyntheticAnnotations,0
