,method_name,cluster_id
0,reset,13
1,getRecognizedFeatures,0
2,setFeature,48
3,getRecognizedProperties,0
4,setProperty,28
5,getFeatureDefault,37
6,getPropertyDefault,37
7,setDocumentHandler,57
8,getDocumentHandler,0
9,startDocument,8
10,xmlDecl,35
11,doctypeDecl,32
12,comment,10
13,processingInstruction,45
14,startElement,42
15,emptyElement,1
16,endElement,15
17,startGeneralEntity,26
18,textDecl,22
19,endGeneralEntity,12
20,characters,10
21,ignorableWhitespace,10
22,startCDATA,12
23,endCDATA,12
24,endDocument,27
25,setDocumentSource,0
26,getDocumentSource,0
27,attributeDecl,25
28,elementDecl,11
29,endAttlist,36
30,endConditional,36
31,endDTD,36
32,endExternalSubset,36
33,endParameterEntity,11
34,externalEntityDecl,54
35,getDTDSource,0
36,ignoredCharacters,36
37,internalEntityDecl,11
38,notationDecl,54
39,setDTDSource,0
40,startAttlist,36
41,startConditional,36
42,startDTD,36
43,startExternalSubset,36
44,startParameterEntity,54
45,unparsedEntityDecl,44
46,getDTDHandler,0
47,setDTDHandler,57
48,setErrorReporter,53
49,handleFallbackElement,18
50,handleIncludeElement,3
51,hasXIncludeNamespace,0
52,isIncludeElement,31
53,isFallbackElement,31
54,sameBaseURIAsIncludeParent,50
55,sameLanguageAsIncludeParent,0
56,setupCurrentBaseURI,0
57,searchForRecursiveIncludes,0
58,isTopLevelIncludedItem,0
59,isTopLevelIncludedItemViaInclude,46
60,isTopLevelIncludedItemViaFallback,0
61,processAttributes,6
62,getRelativeBaseURI,5
63,getIncludeParentBaseURI,19
64,getIncludeParentLanguage,19
65,getIncludeParentDepth,55
66,getResultDepth,0
67,modifyAugmentations,23
68,getState,0
69,setState,17
70,setSawFallback,20
71,getSawFallback,43
72,setSawInclude,20
73,getSawInclude,43
74,reportResourceError,9
75,reportFatalError,56
76,reportError,40
77,setParent,0
78,setHref,0
79,setXIncludeLocator,0
80,isRootDocument,0
81,addUnparsedEntity,51
82,addNotation,4
83,checkUnparsedEntity,7
84,checkNotation,29
85,checkAndSendUnparsedEntity,2
86,checkAndSendNotation,21
87,checkWhitespace,16
88,checkMultipleRootElements,47
89,setRootElementProcessed,46
90,getRootElementProcessed,46
91,copyFeatures,24
92,copyFeatures1,41
93,saveBaseURI,0
94,restoreBaseURI,0
95,saveLanguage,0
96,restoreLanguage,0
97,getBaseURI,34
98,getLanguage,34
99,getRelativeURI,49
100,scopeOfBaseURI,30
101,scopeOfLanguage,30
102,processXMLBaseAttributes,39
103,processXMLLangAttributes,38
104,isValidInHTTPHeader,52
105,createInputSource,33
106,isEqual,58
107,escapeHref,14
