,method_name,cluster_id
0,reset,18
1,getRecognizedFeatures,6
2,setFeature,50
3,getRecognizedProperties,6
4,setProperty,45
5,getFeatureDefault,29
6,getPropertyDefault,29
7,setDocumentHandler,6
8,getDocumentHandler,6
9,startDocument,8
10,xmlDecl,42
11,doctypeDecl,38
12,comment,12
13,processingInstruction,48
14,startElement,9
15,emptyElement,41
16,endElement,16
17,startGeneralEntity,24
18,textDecl,5
19,endGeneralEntity,14
20,characters,12
21,ignorableWhitespace,14
22,startCDATA,14
23,endCDATA,14
24,endDocument,52
25,setDocumentSource,6
26,getDocumentSource,6
27,attributeDecl,37
28,elementDecl,10
29,endAttlist,34
30,endConditional,34
31,endDTD,34
32,endExternalSubset,34
33,endParameterEntity,10
34,externalEntityDecl,44
35,getDTDSource,6
36,ignoredCharacters,34
37,internalEntityDecl,10
38,notationDecl,44
39,setDTDSource,6
40,startAttlist,34
41,startConditional,34
42,startDTD,2
43,startExternalSubset,34
44,startParameterEntity,44
45,unparsedEntityDecl,44
46,getDTDHandler,6
47,setDTDHandler,6
48,setErrorReporter,6
49,handleFallbackElement,7
50,handleIncludeElement,1
51,hasXIncludeNamespace,49
52,isIncludeElement,0
53,isFallbackElement,0
54,sameBaseURIAsIncludeParent,47
55,sameLanguageAsIncludeParent,6
56,setupCurrentBaseURI,6
57,searchForRecursiveIncludes,6
58,isTopLevelIncludedItem,6
59,isTopLevelIncludedItemViaInclude,52
60,isTopLevelIncludedItemViaFallback,6
61,processAttributes,3
62,getRelativeBaseURI,13
63,getIncludeParentBaseURI,26
64,getIncludeParentLanguage,26
65,getIncludeParentDepth,43
66,getResultDepth,6
67,modifyAugmentations,27
68,getState,6
69,setState,51
70,setSawFallback,11
71,getSawFallback,39
72,setSawInclude,11
73,getSawInclude,39
74,reportResourceError,21
75,reportFatalError,21
76,reportError,19
77,setParent,6
78,setHref,6
79,setXIncludeLocator,2
80,isRootDocument,6
81,addUnparsedEntity,35
82,addNotation,4
83,checkUnparsedEntity,22
84,checkNotation,28
85,checkAndSendUnparsedEntity,17
86,checkAndSendNotation,20
87,checkWhitespace,25
88,checkMultipleRootElements,46
89,setRootElementProcessed,52
90,getRootElementProcessed,52
91,copyFeatures,32
92,copyFeatures1,31
93,saveBaseURI,6
94,restoreBaseURI,6
95,saveLanguage,6
96,restoreLanguage,6
97,getBaseURI,36
98,getLanguage,36
99,getRelativeURI,23
100,scopeOfBaseURI,23
101,scopeOfLanguage,23
102,processXMLBaseAttributes,33
103,processXMLLangAttributes,40
104,isValidInHTTPHeader,6
105,createInputSource,30
106,isEqual,53
107,escapeHref,15
