,method_name,cluster_id
0,reset,15
1,getRecognizedFeatures,1
2,setFeature,1
3,getRecognizedProperties,1
4,setProperty,1
5,getFeatureDefault,1
6,getPropertyDefault,1
7,setDocumentHandler,1
8,getDocumentHandler,1
9,startDocument,8
10,xmlDecl,10
11,doctypeDecl,10
12,comment,14
13,processingInstruction,14
14,startElement,2
15,emptyElement,2
16,endElement,13
17,startGeneralEntity,14
18,textDecl,14
19,endGeneralEntity,14
20,characters,14
21,ignorableWhitespace,14
22,startCDATA,14
23,endCDATA,14
24,endDocument,10
25,setDocumentSource,1
26,getDocumentSource,1
27,attributeDecl,6
28,elementDecl,6
29,endAttlist,6
30,endConditional,6
31,endDTD,6
32,endExternalSubset,6
33,endParameterEntity,6
34,externalEntityDecl,6
35,getDTDSource,1
36,ignoredCharacters,6
37,internalEntityDecl,6
38,notationDecl,6
39,setDTDSource,1
40,startAttlist,6
41,startConditional,6
42,startDTD,6
43,startExternalSubset,6
44,startParameterEntity,6
45,unparsedEntityDecl,6
46,getDTDHandler,1
47,setDTDHandler,1
48,setErrorReporter,1
49,handleFallbackElement,13
50,handleIncludeElement,5
51,hasXIncludeNamespace,1
52,isIncludeElement,1
53,isFallbackElement,1
54,sameBaseURIAsIncludeParent,1
55,sameLanguageAsIncludeParent,1
56,setupCurrentBaseURI,1
57,searchForRecursiveIncludes,1
58,isTopLevelIncludedItem,1
59,isTopLevelIncludedItemViaInclude,10
60,isTopLevelIncludedItemViaFallback,1
61,processAttributes,3
62,getRelativeBaseURI,10
63,getIncludeParentBaseURI,10
64,getIncludeParentLanguage,10
65,getIncludeParentDepth,1
66,getResultDepth,1
67,modifyAugmentations,1
68,getState,1
69,setState,1
70,setSawFallback,1
71,getSawFallback,1
72,setSawInclude,1
73,getSawInclude,1
74,reportResourceError,0
75,reportFatalError,0
76,reportError,0
77,setParent,1
78,setHref,1
79,setXIncludeLocator,1
80,isRootDocument,1
81,addUnparsedEntity,12
82,addNotation,12
83,checkUnparsedEntity,1
84,checkNotation,1
85,checkAndSendUnparsedEntity,9
86,checkAndSendNotation,9
87,checkWhitespace,1
88,checkMultipleRootElements,1
89,setRootElementProcessed,10
90,getRootElementProcessed,10
91,copyFeatures,1
92,copyFeatures1,1
93,saveBaseURI,1
94,restoreBaseURI,1
95,saveLanguage,1
96,restoreLanguage,1
97,getBaseURI,11
98,getLanguage,11
99,getRelativeURI,11
100,scopeOfBaseURI,11
101,scopeOfLanguage,11
102,processXMLBaseAttributes,1
103,processXMLLangAttributes,1
104,isValidInHTTPHeader,1
105,createInputSource,4
106,isEqual,1
107,escapeHref,7
