,method_name,cluster_id
0,reset,12
1,getRecognizedFeatures,17
2,setFeature,17
3,getRecognizedProperties,17
4,setProperty,39
5,getFeatureDefault,14
6,getPropertyDefault,14
7,setDocumentHandler,17
8,getDocumentHandler,17
9,startDocument,21
10,xmlDecl,46
11,doctypeDecl,27
12,comment,0
13,processingInstruction,0
14,startElement,35
15,emptyElement,6
16,endElement,11
17,startGeneralEntity,25
18,textDecl,34
19,endGeneralEntity,0
20,characters,0
21,ignorableWhitespace,0
22,startCDATA,0
23,endCDATA,0
24,endDocument,4
25,setDocumentSource,17
26,getDocumentSource,17
27,attributeDecl,28
28,elementDecl,3
29,endAttlist,31
30,endConditional,31
31,endDTD,31
32,endExternalSubset,31
33,endParameterEntity,3
34,externalEntityDecl,41
35,getDTDSource,17
36,ignoredCharacters,31
37,internalEntityDecl,3
38,notationDecl,41
39,setDTDSource,17
40,startAttlist,31
41,startConditional,31
42,startDTD,31
43,startExternalSubset,31
44,startParameterEntity,41
45,unparsedEntityDecl,41
46,getDTDHandler,17
47,setDTDHandler,17
48,setErrorReporter,17
49,handleFallbackElement,26
50,handleIncludeElement,2
51,hasXIncludeNamespace,17
52,isIncludeElement,13
53,isFallbackElement,13
54,sameBaseURIAsIncludeParent,44
55,sameLanguageAsIncludeParent,17
56,setupCurrentBaseURI,17
57,searchForRecursiveIncludes,17
58,isTopLevelIncludedItem,17
59,isTopLevelIncludedItemViaInclude,4
60,isTopLevelIncludedItemViaFallback,1
61,processAttributes,7
62,getRelativeBaseURI,9
63,getIncludeParentBaseURI,30
64,getIncludeParentLanguage,30
65,getIncludeParentDepth,1
66,getResultDepth,17
67,modifyAugmentations,42
68,getState,17
69,setState,15
70,setSawFallback,37
71,getSawFallback,16
72,setSawInclude,37
73,getSawInclude,16
74,reportResourceError,8
75,reportFatalError,8
76,reportError,40
77,setParent,17
78,setHref,17
79,setXIncludeLocator,17
80,isRootDocument,17
81,addUnparsedEntity,18
82,addNotation,18
83,checkUnparsedEntity,23
84,checkNotation,36
85,checkAndSendUnparsedEntity,5
86,checkAndSendNotation,19
87,checkWhitespace,24
88,checkMultipleRootElements,45
89,setRootElementProcessed,4
90,getRootElementProcessed,4
91,copyFeatures,20
92,copyFeatures1,29
93,saveBaseURI,17
94,restoreBaseURI,17
95,saveLanguage,17
96,restoreLanguage,17
97,getBaseURI,10
98,getLanguage,10
99,getRelativeURI,33
100,scopeOfBaseURI,33
101,scopeOfLanguage,33
102,processXMLBaseAttributes,32
103,processXMLLangAttributes,38
104,isValidInHTTPHeader,47
105,createInputSource,43
106,isEqual,17
107,escapeHref,22
