,method_name,cluster_id
0,reset,4
1,getRecognizedFeatures,4
2,setFeature,4
3,getRecognizedProperties,4
4,setProperty,4
5,getFeatureDefault,4
6,getPropertyDefault,4
7,setDocumentHandler,4
8,getDocumentHandler,4
9,startDocument,4
10,xmlDecl,4
11,doctypeDecl,4
12,comment,4
13,processingInstruction,4
14,startElement,2
15,emptyElement,2
16,endElement,4
17,startGeneralEntity,4
18,textDecl,4
19,endGeneralEntity,4
20,characters,4
21,ignorableWhitespace,4
22,startCDATA,4
23,endCDATA,4
24,endDocument,4
25,setDocumentSource,4
26,getDocumentSource,4
27,attributeDecl,1
28,elementDecl,1
29,endAttlist,1
30,endConditional,1
31,endDTD,1
32,endExternalSubset,1
33,endParameterEntity,1
34,externalEntityDecl,1
35,getDTDSource,4
36,ignoredCharacters,1
37,internalEntityDecl,1
38,notationDecl,1
39,setDTDSource,4
40,startAttlist,1
41,startConditional,1
42,startDTD,1
43,startExternalSubset,1
44,startParameterEntity,1
45,unparsedEntityDecl,1
46,getDTDHandler,4
47,setDTDHandler,4
48,setErrorReporter,4
49,handleFallbackElement,4
50,handleIncludeElement,5
51,hasXIncludeNamespace,4
52,isIncludeElement,4
53,isFallbackElement,4
54,sameBaseURIAsIncludeParent,4
55,sameLanguageAsIncludeParent,4
56,setupCurrentBaseURI,4
57,searchForRecursiveIncludes,4
58,isTopLevelIncludedItem,4
59,isTopLevelIncludedItemViaInclude,4
60,isTopLevelIncludedItemViaFallback,4
61,processAttributes,0
62,getRelativeBaseURI,4
63,getIncludeParentBaseURI,4
64,getIncludeParentLanguage,4
65,getIncludeParentDepth,4
66,getResultDepth,4
67,modifyAugmentations,4
68,getState,4
69,setState,4
70,setSawFallback,4
71,getSawFallback,4
72,setSawInclude,4
73,getSawInclude,4
74,reportResourceError,4
75,reportFatalError,4
76,reportError,4
77,setParent,4
78,setHref,4
79,setXIncludeLocator,4
80,isRootDocument,4
81,addUnparsedEntity,1
82,addNotation,1
83,checkUnparsedEntity,4
84,checkNotation,4
85,checkAndSendUnparsedEntity,3
86,checkAndSendNotation,3
87,checkWhitespace,4
88,checkMultipleRootElements,4
89,setRootElementProcessed,4
90,getRootElementProcessed,4
91,copyFeatures,4
92,copyFeatures1,4
93,saveBaseURI,4
94,restoreBaseURI,4
95,saveLanguage,4
96,restoreLanguage,4
97,getBaseURI,4
98,getLanguage,4
99,getRelativeURI,4
100,scopeOfBaseURI,4
101,scopeOfLanguage,4
102,processXMLBaseAttributes,4
103,processXMLLangAttributes,4
104,isValidInHTTPHeader,4
105,createInputSource,4
106,isEqual,4
107,escapeHref,4
