,method_name,cluster_id
0,reset,16
1,getRecognizedFeatures,11
2,setFeature,11
3,getRecognizedProperties,11
4,setProperty,11
5,getFeatureDefault,7
6,getPropertyDefault,7
7,setDocumentHandler,11
8,getDocumentHandler,11
9,startDocument,12
10,xmlDecl,13
11,doctypeDecl,13
12,comment,1
13,processingInstruction,1
14,startElement,3
15,emptyElement,3
16,endElement,15
17,startGeneralEntity,1
18,textDecl,1
19,endGeneralEntity,1
20,characters,1
21,ignorableWhitespace,1
22,startCDATA,1
23,endCDATA,1
24,endDocument,13
25,setDocumentSource,11
26,getDocumentSource,11
27,attributeDecl,2
28,elementDecl,2
29,endAttlist,2
30,endConditional,2
31,endDTD,2
32,endExternalSubset,2
33,endParameterEntity,2
34,externalEntityDecl,2
35,getDTDSource,11
36,ignoredCharacters,2
37,internalEntityDecl,2
38,notationDecl,2
39,setDTDSource,11
40,startAttlist,2
41,startConditional,2
42,startDTD,2
43,startExternalSubset,2
44,startParameterEntity,2
45,unparsedEntityDecl,2
46,getDTDHandler,11
47,setDTDHandler,11
48,setErrorReporter,11
49,handleFallbackElement,1
50,handleIncludeElement,5
51,hasXIncludeNamespace,11
52,isIncludeElement,11
53,isFallbackElement,11
54,sameBaseURIAsIncludeParent,11
55,sameLanguageAsIncludeParent,11
56,setupCurrentBaseURI,11
57,searchForRecursiveIncludes,11
58,isTopLevelIncludedItem,11
59,isTopLevelIncludedItemViaInclude,13
60,isTopLevelIncludedItemViaFallback,11
61,processAttributes,4
62,getRelativeBaseURI,10
63,getIncludeParentBaseURI,13
64,getIncludeParentLanguage,13
65,getIncludeParentDepth,7
66,getResultDepth,11
67,modifyAugmentations,14
68,getState,11
69,setState,0
70,setSawFallback,0
71,getSawFallback,0
72,setSawInclude,0
73,getSawInclude,0
74,reportResourceError,9
75,reportFatalError,9
76,reportError,9
77,setParent,11
78,setHref,11
79,setXIncludeLocator,11
80,isRootDocument,11
81,addUnparsedEntity,6
82,addNotation,6
83,checkUnparsedEntity,11
84,checkNotation,11
85,checkAndSendUnparsedEntity,6
86,checkAndSendNotation,6
87,checkWhitespace,7
88,checkMultipleRootElements,11
89,setRootElementProcessed,8
90,getRootElementProcessed,13
91,copyFeatures,11
92,copyFeatures1,11
93,saveBaseURI,11
94,restoreBaseURI,11
95,saveLanguage,11
96,restoreLanguage,11
97,getBaseURI,11
98,getLanguage,11
99,getRelativeURI,7
100,scopeOfBaseURI,7
101,scopeOfLanguage,7
102,processXMLBaseAttributes,11
103,processXMLLangAttributes,11
104,isValidInHTTPHeader,7
105,createInputSource,11
106,isEqual,11
107,escapeHref,7
