,method_name,cluster_id
0,null2EmptyString,1
1,emptyString2Null,1
2,doc2SystemId,1
3,parseSchema,6
4,validateAnnotations,29
5,createAnnotationValidator,15
6,getGrammar,1
7,findGrammar,48
8,constructTrees,4
9,isExistingGrammar,12
10,updateImportListFor,12
11,updateImportListWith,26
12,buildGlobalNameRegistries,5
13,traverseSchemas,27
14,needReportTNSError,1
15,addGlobalAttributeDecl,1
16,addGlobalAttributeGroupDecl,1
17,addGlobalElementDecl,1
18,addGlobalGroupDecl,1
19,addGlobalNotationDecl,1
20,addGlobalTypeDecl,1
21,addIDConstraintDecl,1
22,getGlobalAttributeDecl,1
23,getGlobalAttributeGroupDecl,1
24,getGlobalElementDecl,1
25,getGlobalGroupDecl,1
26,getGlobalNotationDecl,1
27,getGlobalTypeDecl,1
28,getIDConstraintDecl,1
29,getGlobalDecl,9
30,getGlobalDeclFromGrammar,8
31,traverseGlobalDecl,46
32,schemaDocument2SystemId,1
33,getGrpOrAttrGrpRedefinedByRestriction,42
34,resolveKeyRefs,16
35,getIDRegistry,53
36,getIDRegistry_sub,1
37,storeKeyRef,14
38,resolveSchema,10
39,resolveSchemaSource,10
40,getSchemaDocument,0
41,getSchemaDocument0,41
42,getSchemaDocument1,20
43,expandGrammars,1
44,existingGrammars,1
45,canAddComponents,56
46,canAddComponent,38
47,addGrammars,30
48,addGrammarComponents,33
49,createGrammarFrom,28
50,addNewGrammarLocations,1
51,addNewImportedGrammars,40
52,updateImportList,40
53,addNewGrammarComponents,17
54,addGlobalElementDecls,44
55,addGlobalAttributeDecls,32
56,addGlobalAttributeGroupDecls,36
57,addGlobalNotationDecls,24
58,addGlobalGroupDecls,39
59,addGlobalTypeDecls,31
60,expandComponents,1
61,expandRelatedComponents,23
62,expandRelatedAttributeComponents,25
63,expandRelatedElementComponents,25
64,expandRelatedTypeComponents,50
65,expandRelatedModelGroupDefinitionComponents,34
66,expandRelatedAttributeGroupComponents,1
67,expandRelatedComplexTypeComponents,43
68,expandRelatedSimpleTypeComponents,25
69,expandRelatedAttributeUsesComponents,1
70,expandRelatedAttributeUseComponents,45
71,expandRelatedParticleComponents,34
72,expandRelatedModelGroupComponents,54
73,addRelatedType,51
74,addRelatedElement,49
75,addRelatedAttribute,18
76,addGlobalComponents,55
77,addGlobalComponent,13
78,updateImportDependencies,26
79,expandImportList,47
80,addImportList,12
81,containedImportedGrammar,26
82,getSchemaGrammar,19
83,findDependentNamespaces,26
84,addNamespaceDependency,26
85,reportSharingError,42
86,createTraversers,11
87,prepareForParse,41
88,prepareForTraverse,3
89,setDeclPool,1
90,setDVFactory,52
91,reset,2
92,traverseLocalElements,22
93,removeParticle,1
94,fillInLocalElemInfo,7
95,checkForDuplicateNames,21
96,renameRedefiningComponents,42
97,findQName,1
98,changeRedefineGroup,35
99,findXSDocumentForDecl,1
100,nonAnnotationContent,1
101,setSchemasVisible,46
102,element2Locator,1
103,reportSchemaError,37
104,reportSchemaWarning,37
105,setGenerateSyntheticAnnotations,1
