,method_name,cluster_id
0,reset,17
1,getRecognizedFeatures,16
2,setFeature,16
3,getRecognizedProperties,16
4,setProperty,25
5,getFeatureDefault,38
6,getPropertyDefault,38
7,setDocumentHandler,16
8,getDocumentHandler,16
9,startDocument,14
10,xmlDecl,39
11,doctypeDecl,28
12,comment,13
13,processingInstruction,0
14,startElement,5
15,emptyElement,5
16,endElement,12
17,startGeneralEntity,35
18,textDecl,6
19,endGeneralEntity,27
20,characters,13
21,ignorableWhitespace,13
22,startCDATA,27
23,endCDATA,27
24,endDocument,15
25,setDocumentSource,16
26,getDocumentSource,16
27,attributeDecl,21
28,elementDecl,43
29,endAttlist,3
30,endConditional,3
31,endDTD,3
32,endExternalSubset,3
33,endParameterEntity,43
34,externalEntityDecl,29
35,getDTDSource,16
36,ignoredCharacters,3
37,internalEntityDecl,43
38,notationDecl,29
39,setDTDSource,16
40,startAttlist,3
41,startConditional,3
42,startDTD,3
43,startExternalSubset,3
44,startParameterEntity,29
45,unparsedEntityDecl,40
46,getDTDHandler,16
47,setDTDHandler,16
48,setErrorReporter,16
49,handleFallbackElement,30
50,handleIncludeElement,10
51,hasXIncludeNamespace,16
52,isIncludeElement,44
53,isFallbackElement,44
54,sameBaseURIAsIncludeParent,16
55,sameLanguageAsIncludeParent,16
56,setupCurrentBaseURI,16
57,searchForRecursiveIncludes,16
58,isTopLevelIncludedItem,16
59,isTopLevelIncludedItemViaInclude,15
60,isTopLevelIncludedItemViaFallback,16
61,processAttributes,8
62,getRelativeBaseURI,18
63,getIncludeParentBaseURI,41
64,getIncludeParentLanguage,41
65,getIncludeParentDepth,7
66,getResultDepth,16
67,modifyAugmentations,42
68,getState,16
69,setState,1
70,setSawFallback,37
71,getSawFallback,2
72,setSawInclude,37
73,getSawInclude,2
74,reportResourceError,20
75,reportFatalError,20
76,reportError,34
77,setParent,16
78,setHref,16
79,setXIncludeLocator,16
80,isRootDocument,16
81,addUnparsedEntity,9
82,addNotation,36
83,checkUnparsedEntity,19
84,checkNotation,33
85,checkAndSendUnparsedEntity,22
86,checkAndSendNotation,4
87,checkWhitespace,11
88,checkMultipleRootElements,16
89,setRootElementProcessed,15
90,getRootElementProcessed,15
91,copyFeatures,31
92,copyFeatures1,26
93,saveBaseURI,16
94,restoreBaseURI,16
95,saveLanguage,16
96,restoreLanguage,16
97,getBaseURI,2
98,getLanguage,2
99,getRelativeURI,7
100,scopeOfBaseURI,7
101,scopeOfLanguage,7
102,processXMLBaseAttributes,24
103,processXMLLangAttributes,45
104,isValidInHTTPHeader,7
105,createInputSource,32
106,isEqual,16
107,escapeHref,23
