,method_name,cluster_id
0,reset,17
1,getRecognizedFeatures,5
2,setFeature,5
3,getRecognizedProperties,5
4,setProperty,37
5,getFeatureDefault,27
6,getPropertyDefault,27
7,setDocumentHandler,1
8,getDocumentHandler,5
9,startDocument,10
10,xmlDecl,23
11,doctypeDecl,31
12,comment,33
13,processingInstruction,50
14,startElement,3
15,emptyElement,51
16,endElement,6
17,startGeneralEntity,25
18,textDecl,7
19,endGeneralEntity,7
20,characters,33
21,ignorableWhitespace,7
22,startCDATA,7
23,endCDATA,7
24,endDocument,28
25,setDocumentSource,54
26,getDocumentSource,5
27,attributeDecl,13
28,elementDecl,49
29,endAttlist,18
30,endConditional,18
31,endDTD,18
32,endExternalSubset,18
33,endParameterEntity,49
34,externalEntityDecl,48
35,getDTDSource,5
36,ignoredCharacters,18
37,internalEntityDecl,49
38,notationDecl,48
39,setDTDSource,54
40,startAttlist,18
41,startConditional,18
42,startDTD,18
43,startExternalSubset,12
44,startParameterEntity,48
45,unparsedEntityDecl,39
46,getDTDHandler,5
47,setDTDHandler,1
48,setErrorReporter,5
49,handleFallbackElement,35
50,handleIncludeElement,2
51,hasXIncludeNamespace,5
52,isIncludeElement,34
53,isFallbackElement,34
54,sameBaseURIAsIncludeParent,46
55,sameLanguageAsIncludeParent,5
56,setupCurrentBaseURI,5
57,searchForRecursiveIncludes,5
58,isTopLevelIncludedItem,5
59,isTopLevelIncludedItemViaInclude,28
60,isTopLevelIncludedItemViaFallback,5
61,processAttributes,8
62,getRelativeBaseURI,11
63,getIncludeParentBaseURI,21
64,getIncludeParentLanguage,21
65,getIncludeParentDepth,36
66,getResultDepth,5
67,modifyAugmentations,30
68,getState,5
69,setState,47
70,setSawFallback,15
71,getSawFallback,40
72,setSawInclude,15
73,getSawInclude,40
74,reportResourceError,0
75,reportFatalError,0
76,reportError,42
77,setParent,5
78,setHref,5
79,setXIncludeLocator,5
80,isRootDocument,5
81,addUnparsedEntity,4
82,addNotation,41
83,checkUnparsedEntity,19
84,checkNotation,32
85,checkAndSendUnparsedEntity,16
86,checkAndSendNotation,14
87,checkWhitespace,26
88,checkMultipleRootElements,52
89,setRootElementProcessed,28
90,getRootElementProcessed,28
91,copyFeatures,20
92,copyFeatures1,44
93,saveBaseURI,5
94,restoreBaseURI,5
95,saveLanguage,5
96,restoreLanguage,5
97,getBaseURI,29
98,getLanguage,29
99,getRelativeURI,45
100,scopeOfBaseURI,22
101,scopeOfLanguage,22
102,processXMLBaseAttributes,38
103,processXMLLangAttributes,43
104,isValidInHTTPHeader,5
105,createInputSource,24
106,isEqual,53
107,escapeHref,9
